pattern,distance,visibility,size,position_error,shape_error,ringing,brightness
adjacent,0.0,4.317616170524232,0.4033141922401661,0.0027962430250958337,0.013972055888223553,0.11030968460226663,0.10153221808428992
adjacent,0.45,4.97316397206934,0.3630677372311974,0.008364865303138236,0.0049261083743842365,0.10944351870698209,0.08212213460367203
adjacent,0.65,5.215875836737759,0.34893157889942655,0.004979625437235521,0.048,0.05488749960206539,0.07799201520646819
opposite,0.0,2.127068152742263,0.6519202405202649,0.0036456965529378907,0.0213903743315508,0.0857027660067644,0.2726538462151028
opposite,0.45,3.9035954962925845,0.4409994551929962,0.019095639383848097,0.02003338898163606,0.1420198711782003,0.11424887467780973
opposite,0.65,4.333138144629261,0.3906371751349359,0.01889202247865825,0.07021276595744681,0.1388776893967054,0.09078694712254878
skip_4,0.0,3.362127000729228,0.4855041562276122,0.004051468414625662,0.005509641873278237,0.1544524530221668,0.13508451090938067
skip_4,0.45,4.35514377453518,0.4053217416888888,0.012475855163039081,0.025691699604743084,0.11598184526663127,0.10033800927534087
skip_4,0.65,4.629623521547375,0.37321001364608947,0.006196868910702045,0.05827505827505827,0.08553200371892541,0.08673031257054496
