pattern,distance,voltage_change,voltage_level
adjacent,0.0,0.00040326606557947273,0.03303029912829795
opposite,0.0,0.0029551104783943883,0.17147765636893672
skip_4,0.0,0.002066726364624216,0.1509425780471875
adjacent,0.45,0.0005733462503881568,0.03303029912829795
opposite,0.45,0.0032159392509223867,0.17147765636893672
skip_4,0.45,0.00280437887127752,0.1509425780471875
adjacent,0.65,0.0009370690468236155,0.03303029912829795
opposite,0.65,0.0038384556640236275,0.17147765636893672
skip_4,0.65,0.003467569895765582,0.1509425780471875
